City, Lat, Lng, Max Temp, Humidity, Cloudiness, Wind Speed, Country, Date
Vaini, -21.2, -175.2, 77, 88, 90, 5.75, TO, 1617499512 
Shepsi, 44.0361, 39.1489, 50.22, 77, 92, 18.52, RU, 1617499512 
Port Alfred, -33.5906, 26.891, 60.98, 82, 1, 10.98, ZA, 1617499513 
Huallanca, -9.8993, -76.9417, 48.22, 91, 100, 3.71, PE, 1617499513 
Mataura, -46.1927, 168.8643, 60.01, 88, 92, 18.01, NZ, 1617499514 
Yellowknife, 62.456, -114.3525, 10.4, 56, 75, 9.22, CA, 1617499514 
Ushuaia, -54.8, -68.3, 39.2, 75, 40, 13.8, AR, 1617499515 
Upernavik, 72.7868, -56.1549, -22.85, 95, 19, 6.08, GL, 1617499515 
New Norfolk, -42.7826, 147.0587, 66, 46, 84, 5.99, AU, 1617499516 
Río Cuarto, -33.1307, -64.3499, 64.4, 77, 0, 11.5, AR, 1617499516 
Tuktoyaktuk, 69.4541, -133.0374, -9.4, 77, 1, 5.75, CA, 1617499517 
Porto-Novo, 6.4965, 2.6036, 80.35, 83, 8, 7.81, BJ, 1617499517 
Esim, 4.8699, -2.2405, 79.2, 91, 28, 6.55, GH, 1617499517 
Albany, 42.6001, -73.9662, 39.2, 41, 75, 6.91, US, 1617499518 
Puerto Ayora, -0.7393, -90.3518, 77, 94, 48, 3, EC, 1617499518 
Kloulklubed, 7.0419, 134.2556, 86, 74, 75, 5.75, PW, 1617499519 
Torbay, 47.6666, -52.7314, 39, 100, 90, 10.36, CA, 1617499520 
George Town, 5.4112, 100.3354, 80.6, 94, 40, 4.61, MY, 1617499520 
Ribeira Grande, 38.5167, -28.7, 61.93, 85, 100, 28.68, PT, 1617499521 
Clyde River, 70.4692, -68.5914, -16.6, 83, 40, 6.91, CA, 1617499521 
Punta Arenas, -53.15, -70.9167, 37.4, 75, 20, 4.61, CL, 1617499342 
Borovoy, 55.4333, 86.0833, 26.6, 80, 0, 6.71, RU, 1617499522 
Curuçá, -0.7289, -47.8481, 74.48, 96, 100, 3.31, BR, 1617499522 
Horsham, 51.064, -0.3272, 41, 70, 75, 5.75, GB, 1617499523 
Vila Franca do Campo, 37.7167, -25.4333, 60.8, 88, 75, 18.41, PT, 1617499523 
Fort Nelson, 58.8053, -122.7002, 48.2, 23, 20, 2.3, CA, 1617499523 
Aksha, 50.2814, 113.2867, 39.27, 33, 100, 8.79, RU, 1617499524 
Jamestown, 42.097, -79.2353, 42.8, 33, 90, 8.05, US, 1617499358 
Butaritari, 3.0707, 172.7902, 82.78, 77, 18, 12.97, KI, 1617499524 
Busselton, -33.65, 115.3333, 66, 87, 100, 5.99, AU, 1617499525 
Havøysund, 70.9963, 24.6622, 28.4, 100, 75, 16.11, NO, 1617499526 
Miraflores, 19.2167, -98.8083, 69.8, 24, 1, 19.57, MX, 1617499527 
Faanui, -16.4833, -151.75, 82.56, 70, 13, 5.14, PF, 1617499527 
Nikolskoye, 59.7035, 30.7861, 34, 93, 0, 6.71, RU, 1617499527 
Avarua, -21.2078, -159.775, 84.2, 74, 97, 13.8, CK, 1617499528 
Chapada dos Guimarães, -15.4606, -55.7497, 75.2, 88, 75, 2.3, BR, 1617499528 
Lincoln, 40.8, -96.667, 68, 22, 1, 5.75, US, 1617499395 
Grand Gaube, -20.0064, 57.6608, 79, 82, 8, 5.01, MU, 1617499529 
Constitución, -35.3333, -72.4167, 56.39, 75, 0, 8.16, CL, 1617499529 
Port Hardy, 50.6996, -127.4199, 44.6, 65, 75, 11.5, CA, 1617499246 
Katsuura, 35.1333, 140.3, 71.01, 67, 95, 5.99, JP, 1617499530 
Tiksi, 71.6872, 128.8694, -11.56, 99, 100, 7.25, RU, 1617499530 
Santiago, -33.4569, -70.6483, 75, 49, 0, 9.22, CL, 1617499412 
Cape Town, -33.9258, 18.4232, 66, 94, 75, 4.61, ZA, 1617499531 
Zheleznodorozhnyy, 55.7503, 38.0042, 33.01, 100, 10, 4.47, RU, 1617499310 
Hilo, 19.7297, -155.09, 73, 83, 90, 9.22, US, 1617499532 
Port Elizabeth, -33.918, 25.5701, 57.2, 88, 0, 3.44, ZA, 1617499355 
Ancud, -41.8697, -73.8203, 50, 87, 0, 2.89, CL, 1617499533 
Yulara, -25.2406, 130.9889, 82.4, 28, 0, 16.11, AU, 1617499534 
Talnakh, 69.4865, 88.3972, -11.69, 80, 6, 9.82, RU, 1617499534 
Panalingaan, 8.7842, 117.4231, 82.99, 71, 100, 1.45, PH, 1617499534 
La Ferté-Bernard, 48.1863, 0.6536, 41, 75, 0, 9.22, FR, 1617499535 
Chui, -33.6971, -53.4616, 65.14, 87, 0, 7.74, UY, 1617499535 
San Cristobal, 7.7669, -72.225, 80.6, 83, 75, 2.3, VE, 1617499536 
Hobart, -42.8794, 147.3294, 66.2, 37, 40, 16.11, AU, 1617499318 
Harper, 4.375, -7.7169, 78.85, 89, 100, 6.98, LR, 1617499536 
Atuona, -9.8, -139.0333, 80.69, 73, 100, 11.01, PF, 1617499537 
Mahébourg, -20.4081, 57.7, 78.8, 89, 75, 6.91, MU, 1617499538 
Tezu, 27.9167, 96.1667, 74.91, 33, 99, 1.61, IN, 1617499538 
Nizhneudinsk, 54.9076, 99.0276, 35.33, 90, 100, 7.52, RU, 1617499539 
Pisco, -13.7, -76.2167, 73.4, 78, 100, 3.44, PE, 1617498878 
Ossora, 59.2353, 163.0719, 14.92, 72, 100, 6.11, RU, 1617499540 
Grandview, 38.8858, -94.533, 66.2, 48, 1, 8.21, US, 1617499541 
Saint Paul Harbor, 57.79, -152.4072, 48.2, 46, 1, 13.8, US, 1617499541 
Bredasdorp, -34.5322, 20.0403, 50, 93, 0, 1.14, ZA, 1617499541 
Fallon, 39.4735, -118.7774, 78.8, 7, 75, 6.91, US, 1617499542 
Rikitea, -23.1203, -134.9692, 77.95, 62, 3, 17.49, PF, 1617499542 
Kapaa, 22.0752, -159.319, 77, 65, 40, 21.85, US, 1617499542 
Manokwari, -0.8667, 134.0833, 83.12, 71, 100, 2.75, ID, 1617499543 
Erzin, 36.9559, 36.2, 57.99, 88, 37, 1.86, TR, 1617499544 
Nyurba, 63.2842, 118.3319, -4.59, 95, 100, 3.53, RU, 1617499544 
Saint George, 37.1041, -113.5841, 86, 9, 1, 10.36, US, 1617499514 
Saskylakh, 71.9167, 114.0833, -16.6, 97, 22, 1.9, RU, 1617499545 
Huron, 41.1501, -82.5499, 55.4, 38, 75, 10.36, US, 1617499531 
Mogadishu, 2.0371, 45.3438, 81.45, 79, 19, 9.53, SO, 1617499327 
Souillac, -20.5167, 57.5167, 78.8, 89, 75, 6.91, MU, 1617499547 
Meadow Lake, 34.8014, -106.5436, 77, 15, 20, 2.42, US, 1617499547 
Airai, -8.9266, 125.4092, 61.25, 97, 100, 6.08, TL, 1617499548 
